date_time,"boston,ma_maxtempC","boston,ma_mintempC","boston,ma_totalSnow_cm","boston,ma_sunHour","boston,ma_uvIndex","boston,ma_moon_illumination","boston,ma_moonrise","boston,ma_moonset","boston,ma_sunrise","boston,ma_sunset","boston,ma_DewPointC","boston,ma_FeelsLikeC","boston,ma_HeatIndexC","boston,ma_WindChillC","boston,ma_WindGustKmph","boston,ma_cloudcover","boston,ma_humidity","boston,ma_precipMM","boston,ma_pressure","boston,ma_tempC","boston,ma_visibility","boston,ma_winddirDegree","boston,ma_windspeedKmph","boston,ma_location"
2016-03-27,7,-1,0.0,11.6,2,69,11:06 PM,08:50 AM,06:34 AM,07:05 PM,0,3,5,3,8,11,75,0.0,1029,7,10,122,6,"boston,ma"
2016-03-28,6,1,0.0,6.4,1,62,No moonrise,09:27 AM,06:33 AM,07:06 PM,4,2,4,2,16,92,97,11.3,1007,6,3,171,10,"boston,ma"
2016-03-29,9,2,0.0,10.3,3,55,12:01 AM,10:08 AM,06:31 AM,07:07 PM,-0,2,6,2,33,31,69,0.0,1008,9,10,303,22,"boston,ma"
2016-03-30,12,-0,0.0,11.6,3,47,12:54 AM,10:54 AM,06:29 AM,07:09 PM,-1,5,7,5,19,16,60,0.0,1024,12,10,245,13,"boston,ma"
2016-03-31,21,6,0.0,9.0,4,43,01:45 AM,11:45 AM,06:27 AM,07:10 PM,7,12,14,12,40,30,65,0.0,1014,21,10,214,26,"boston,ma"
2016-04-01,19,15,0.0,6.4,4,26,02:33 AM,12:42 PM,06:26 AM,07:11 PM,14,17,17,17,33,89,84,0.2,1003,19,9,222,21,"boston,ma"
2016-04-02,12,6,0.0,6.4,2,19,03:18 AM,01:45 PM,06:24 AM,07:12 PM,7,8,9,8,12,72,87,3.8,999,12,8,236,8,"boston,ma"
2016-04-03,5,-6,1.4,10.3,1,11,03:59 AM,02:51 PM,06:22 AM,07:13 PM,-3,-5,-0,-5,28,62,83,3.3,1001,5,9,290,19,"boston,ma"
2016-04-04,-2,-6,6.5,6.5,1,4,04:39 AM,04:02 PM,06:21 AM,07:14 PM,-5,-7,-4,-7,16,89,91,7.7,1016,-2,7,104,11,"boston,ma"
2016-04-05,0,-7,0.0,11.6,2,0,05:17 AM,05:15 PM,06:19 AM,07:15 PM,-5,-8,-3,-8,20,19,87,0.1,1024,0,9,255,13,"boston,ma"
2016-04-06,3,-10,0.0,11.6,2,0,05:54 AM,06:29 PM,06:17 AM,07:17 PM,-3,-4,-1,-4,17,36,84,0.0,1025,3,10,220,10,"boston,ma"
2016-04-07,13,4,0.0,6.5,2,0,06:31 AM,07:44 PM,06:16 AM,07:18 PM,9,7,10,7,35,92,95,15.6,1005,13,7,181,20,"boston,ma"
2016-04-08,10,2,0.0,9.1,2,3,07:11 AM,08:59 PM,06:14 AM,07:19 PM,3,4,7,4,23,60,75,0.8,1001,10,9,238,16,"boston,ma"
2016-04-09,8,-1,0.0,9.1,2,11,07:53 AM,10:11 PM,06:12 AM,07:20 PM,-3,3,4,3,11,51,60,0.0,1008,8,10,208,8,"boston,ma"
2016-04-10,8,-1,0.0,11.6,2,19,08:39 AM,11:19 PM,06:11 AM,07:21 PM,-8,0,3,0,17,19,47,0.0,1022,8,10,281,12,"boston,ma"
2016-04-11,15,3,0.0,10.3,3,26,09:31 AM,No moonset,06:09 AM,07:22 PM,2,7,9,7,28,66,63,0.0,1022,15,10,199,20,"boston,ma"
2016-04-12,14,8,0.0,9.1,3,34,10:25 AM,12:21 AM,06:07 AM,07:23 PM,8,9,11,9,29,81,83,4.4,1016,14,10,223,18,"boston,ma"
2016-04-13,12,5,0.0,9.1,3,41,11:23 AM,01:16 AM,06:06 AM,07:24 PM,3,7,9,7,20,61,67,1.4,1018,12,10,238,13,"boston,ma"
2016-04-14,14,6,0.0,11.6,3,49,12:22 PM,02:03 AM,06:04 AM,07:26 PM,3,9,10,9,20,32,62,0.0,1019,14,10,240,13,"boston,ma"
2016-04-15,12,6,0.0,9.1,3,56,01:22 PM,02:45 AM,06:03 AM,07:27 PM,3,7,9,7,23,60,68,1.0,1022,12,10,172,16,"boston,ma"
2016-04-16,13,5,0.0,9.1,3,64,02:21 PM,03:21 AM,06:01 AM,07:28 PM,4,7,10,7,24,61,71,3.9,1021,13,9,167,16,"boston,ma"
2016-04-17,14,8,0.0,12.1,4,71,03:19 PM,03:54 AM,05:59 AM,07:29 PM,4,9,11,9,21,58,66,1.9,1016,14,10,202,14,"boston,ma"
2016-04-18,12,5,0.0,12.1,3,79,04:17 PM,04:24 AM,05:58 AM,07:30 PM,3,7,9,7,17,60,66,0.2,1018,12,10,176,12,"boston,ma"
2016-04-19,13,6,0.0,12.1,3,87,05:14 PM,04:52 AM,05:56 AM,07:31 PM,5,8,10,8,18,60,73,0.7,1019,13,10,193,13,"boston,ma"
2016-04-20,12,6,0.0,12.1,3,94,06:11 PM,05:21 AM,05:55 AM,07:32 PM,4,7,9,7,21,63,73,2.2,1019,12,9,182,14,"boston,ma"
2016-04-21,23,4,0.0,13.8,4,100,07:08 PM,05:49 AM,05:53 AM,07:34 PM,4,14,15,14,15,12,52,0.0,1018,23,10,242,10,"boston,ma"
2016-04-22,24,12,0.0,13.8,5,100,08:04 PM,06:19 AM,05:52 AM,07:35 PM,11,18,19,18,14,42,67,0.0,1012,24,10,223,9,"boston,ma"
2016-04-23,15,9,0.0,8.7,3,83,09:01 PM,06:51 AM,05:50 AM,07:36 PM,11,13,13,13,13,86,84,3.7,1010,15,9,207,9,"boston,ma"
2016-04-24,14,4,0.0,13.3,3,76,09:56 PM,07:27 AM,05:49 AM,07:37 PM,-1,8,10,8,11,19,51,0.0,1017,14,10,225,8,"boston,ma"
2016-04-25,16,3,0.0,13.9,4,68,10:50 PM,08:06 AM,05:47 AM,07:38 PM,2,11,11,11,7,45,58,0.0,1015,16,10,197,5,"boston,ma"
